TREEPAIR_350_35_70_05, k=63, t=63.5689837
TREEPAIR_350_35_90_01, k=67, t=137.1719553
TREEPAIR_350_35_90_02, k=63, t=203.2949266
TREEPAIR_350_35_90_03, k=42, t=134.6391255
TREEPAIR_350_35_90_04, k=73, t=73.6040134
TREEPAIR_350_35_90_05, k=88, t=95.6491047
TREEPAIR_500_35_50_01, k=61, t=100.1399011
TREEPAIR_500_35_50_02, k=70, t=96.129481
TREEPAIR_500_35_50_03, k=71, t=97.626681
TREEPAIR_500_35_50_04, k=57, t=136.137481
TREEPAIR_500_35_50_05, k=57, t=76.1160661
TREEPAIR_500_35_70_01, k=60, t=92.6302718
TREEPAIR_500_35_70_02, k=50, t=122.7085349
TREEPAIR_500_35_70_03, k=58, t=83.1499652
TREEPAIR_500_35_70_04, k=57, t=99.1004515
TREEPAIR_500_35_70_05, k=64, t=77.6114855
TREEPAIR_500_35_90_01, k=45, t=168.8202822
TREEPAIR_500_35_90_02, k=89, t=159.8849028
TREEPAIR_500_35_90_03, k=71, t=90.6992734
TREEPAIR_500_35_90_04, k=69, t=94.2134083
TREEPAIR_500_35_90_05, k=80, t=121.715649
TREEPAIR_1000_35_50_01, k=71, t=108.7459025
TREEPAIR_1000_35_50_02, k=65, t=83.18563
TREEPAIR_1000_35_50_03, k=63, t=98.738272
TREEPAIR_1000_35_50_04, k=75, t=112.7366695
TREEPAIR_1000_35_50_05, k=67, t=106.2402545
TREEPAIR_1000_35_70_01, k=77, t=98.2656205
TREEPAIR_1000_35_70_02, k=69, t=140.2682931
TREEPAIR_1000_35_70_03, k=72, t=95.2829204
TREEPAIR_1000_35_70_04, k=77, t=101.7549421
TREEPAIR_1000_35_70_05, k=79, t=104.8472509
TREEPAIR_1000_35_90_01, k=96, t=119.0578081
TREEPAIR_1000_35_90_02, k=99, t=159.6500185
TREEPAIR_1000_35_90_03, k=77, t=135.4993924
TREEPAIR_1000_35_90_04, k=83, t=131.1018764
TREEPAIR_1000_35_90_05, k=83, t=140.4734897
TREEPAIR_1500_35_50_01, k=72, t=107.2867965
TREEPAIR_1500_35_50_02, k=84, t=110.8291268
TREEPAIR_1500_35_50_03, k=58, t=86.745826
TREEPAIR_1500_35_50_04, k=81, t=102.9096978
TREEPAIR_1500_35_50_05, k=76, t=102.3029136
TREEPAIR_1500_35_70_01, k=76, t=205.5760038
TREEPAIR_1500_35_70_02, k=77, t=104.3447762
TREEPAIR_1500_35_70_03, k=78, t=109.3536394
TREEPAIR_1500_35_70_04, k=71, t=121.8800593
TREEPAIR_1500_35_70_05, k=70, t=104.8442
TREEPAIR_1500_35_90_01, k=107, t=138.7415668
TREEPAIR_1500_35_90_02, k=103, t=120.7727167
TREEPAIR_1500_35_90_03, k=105, t=151.7657878
TREEPAIR_1500_35_90_04, k=87, t=96.8840944
TREEPAIR_1500_35_90_05, k=75, t=113.1783127
TREEPAIR_2000_35_50_01, k=62, t=116.8014225
TREEPAIR_2000_35_50_02, k=68, t=147.8730236
TREEPAIR_2000_35_50_03, k=73, t=99.8476383
TREEPAIR_2000_35_50_04, k=67, t=100.3523494
TREEPAIR_2000_35_50_05, k=66, t=113.4069299
TREEPAIR_2000_35_70_01, k=93, t=149.6218287
TREEPAIR_2000_35_70_02, k=67, t=141.4133167
TREEPAIR_2000_35_70_03, k=83, t=94.9218133
TREEPAIR_2000_35_70_04, k=73, t=90.8619096
TREEPAIR_2000_35_70_05, k=90, t=111.3637796
TREEPAIR_2000_35_90_01, k=89, t=102.614153
TREEPAIR_2000_35_90_02, k=85, t=314.3449676
TREEPAIR_2000_35_90_03, k=98, t=131.0683167
